Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-33.311172	63.70389	28.071241	-335.6365	103.62069	-103.043175	23.504454	104.01601	-111.78696	112000	-2.002716e-08	10543.84	-0.03892865	-2963.6729	0.8369264	0.01525662	0.17875	36.0	115.90101051330566
28	-34.36798	74.93904	8.367043	-450.0171	89.052635	-71.994545	41.239254	53.983734	-113.37717	116000	4.768372e-10	6562.742	-0.016258249	-812.5801	0.8306406	0.017300326	0.2335	8.0	119.73948669433594
29	-34.72978	70.30685	18.614555	-428.4855	99.20513	-58.118122	43.123447	54.555744	-115.64331	120000	-5.9604643e-10	6348.889	-0.05344152	-1090.937	0.8287452	0.014236721	0.24225	79.0	124.04734468460083
30	-35.051884	72.40527	17.064857	-416.18845	100.75	-47.6443	41.69401	-11.785244	-117.64062	124000	-8.106232e-09	5984.7544	-0.0151217235	-1072.6543	0.8206841	0.01851033	0.22325	7.0	128.05852103233337
31	-81.42945	133.02893	16.297562	-456.31073	186.47058	-86.42608	36.380657	-20.74889	-118.82441	128000	2.002716e-08	16584.88	-0.013087153	-3548.6064	0.82002556	0.015162604	0.24325	6.0	131.94964456558228
32	-67.73362	106.86586	3.7773905	-424.78833	172.39131	-99.28392	33.54146	-23.94139	-123.99188	132000	1.3113022e-08	9150.653	-0.010314309	-1719.043	0.8190759	0.017305974	0.22675	6.0	136.00531911849976
33	-53.82984	108.90069	38.997196	-415.89722	134.89655	-84.14663	46.16296	-17.507162	-127.87156	136000	-1.758337e-08	9566.266	-0.017262582	-804.78516	0.8181739	0.015779313	0.241	7.0	140.20789098739624
34	-28.736689	66.50225	27.286968	-462.31906	79.62	-69.19712	42.405704	6.649976	-131.586	140000	1.001358e-08	6529.419	-0.010887058	-718.5244	0.8169894	0.015071366	0.2455	6.0	144.3062481880188
35	-33.204124	62.78763	15.715152	-325.685	86.521736	-59.07961	49.699596	35.357395	-133.65378	144000	4.172325e-09	4989.3086	-0.014071907	-511.17578	0.81617904	0.01694216	0.279	8.0	148.22550344467163
36	-89.906876	165.1369	20.619741	-477.47293	221.38889	-104.007416	48.71949	35.80702	-135.52155	148000	-3.9100648e-08	16680.92	-0.014556302	-2559.2178	0.81537646	0.017067624	0.227	7.0	152.11340832710266
37	-77.09419	142.67079	25.86619	-430.1416	190.28572	-118.9804	40.709393	79.73598	-142.56908	152000	-9.059906e-09	12094.929	-0.012325173	-1942.2686	0.8145683	0.015882548	0.1975	6.0	155.56778693199158
38	-42.014435	94.71299	10.288547	-476.46533	102.31579	-94.49927	51.662384	51.48782	-148.32779	156000	1.4781952e-08	13091.015	-0.01159037	-2702.2783	0.81398684	0.015079496	0.26875	8.0	159.1009590625763
39	-52.149155	122.73442	30.376686	-498.18076	130.10345	-108.74828	52.525593	23.916687	-153.06126	160000	-3.5762786e-09	12057.119	-0.013692867	-1665.3994	0.8131551	0.01673371	0.2225	6.0	162.93777465820312
40	-59.084084	118.95936	19.80872	-456.68155	144.15384	-109.64683	54.650806	39.43375	-157.74379	164000	8.8214875e-09	12328.43	-0.010237739	-1907.8682	0.81221205	0.015748767	0.24525	7.0	166.5290560722351
41	-79.02454	131.6865	20.266909	-445.09836	180.38889	-119.113014	52.71225	30.091362	-161.77194	168000	1.0967255e-08	13058.818	-0.014461321	-2470.8076	0.81082684	0.016558154	0.2685	7.0	170.1338448524475
42	-97.63636	160.37299	9.816958	-485.75357	208.47368	-145.07138	41.075428	63.119385	-167.0338	172000	2.3841857e-09	15477.753	-0.01159981	-2243.5254	0.8094789	0.015109618	0.25775	7.0	173.939359664917
43	-50.807423	105.40946	17.966066	-424.7533	141.71428	-118.866875	59.90084	148.78447	-173.86981	176000	1.3113022e-08	10094.316	-0.012363898	-1842.8799	0.808248	0.017164323	0.2425	7.0	178.35193014144897
44	-40.042854	87.350845	18.460287	-404.57193	107.62162	-104.18825	70.55018	87.65099	-178.11694	180000	-5.3048135e-09	7343.4497	-0.01134826	-1064.2236	0.80739695	0.015436666	0.1945	6.0	182.19248223304749
45	-30.415852	59.27725	23.242203	-432.51654	68.37931	-68.08056	68.21774	36.481556	-181.89091	184000	-1.6450882e-08	5852.666	-0.011410155	-650.98535	0.80679846	0.01563844	0.2155	6.0	186.54718399047852
46	-47.622387	100.10817	12.752599	-491.49597	112.942856	-104.27178	80.73745	74.05077	-184.16508	188000	2.026558e-09	10725.717	-0.013289768	-1229.0488	0.8063393	0.016145576	0.3025	8.0	190.30647993087769
47	-23.160578	67.597885	18.573336	-472.00244	79.44	-77.77463	64.808624	4.116929	-187.50847	192000	-6.9141386e-09	4812.0605	-0.012980537	-1213.134	0.8053334	0.016851187	0.15725	6.0	194.43114137649536
48	-40.894848	99.96921	18.66176	-511.43546	107.72973	-101.77631	85.05681	59.325928	-189.88792	196000	2.026558e-09	9285.636	-0.014698776	-1111.229	0.80410963	0.015506834	0.285	7.0	199.2625608444214
49	-59.93178	122.88181	14.428705	-424.41013	158.52632	-146.9764	74.82442	59.31468	-194.40227	200000	8.225441e-09	11265.342	-0.010741712	-1790.54	0.8027665	0.015329735	0.24775	7.0	203.5323314666748
