Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	84.03862	10.315227	98.89611	72.23322	1000.0	59.919743	4.9083467	72.99255	50.56871	112000	1.2159347e-08	39.721504	-0.011237144	-19.74305	0.7606231	0.0040837065	0.082	79.0	60.88942265510559
28	82.88635	4.812751	88.98784	75.499214	1000.0	63.5531	5.642862	74.98832	53.888775	116000	-1.1920929e-08	4.796915	-0.011202297	-1.6693683	0.7447885	0.015040303	0.142	2.0	62.723992347717285
29	118.393555	9.681	132.52309	106.61055	1000.0	57.8792	11.9300785	75.81118	31.199135	120000	2.9563903e-08	148.26447	-0.010819715	-130.6749	0.7445223	0.0052980846	0.072	79.0	65.0187656879425
30	127.55003	6.5838814	136.56105	117.957726	1000.0	70.94557	12.911456	84.63511	41.974304	124000	-2.384186e-10	69.66169	-0.011233515	-43.545555	0.72925705	0.0057442565	0.07725	79.0	67.3593327999115
31	124.076126	9.863686	139.03458	111.72675	1000.0	76.65948	12.622448	90.9888	44.54572	128000	-9.834767e-09	62.400063	-0.011264513	-48.99262	0.7016474	0.0036009923	0.0665	79.0	69.67371320724487
32	132.07951	4.0142326	135.78159	126.00385	1000.0	82.7408	13.189998	97.23886	49.35545	132000	-6.556511e-09	32.785885	-0.009391924	-16.268736	0.6664896	0.0074288463	0.066	79.0	71.97448682785034
33	117.75884	12.713748	134.79051	101.750305	1000.0	88.67714	9.363564	100.47769	62.217186	136000	1.3113022e-08	10.889731	-0.010660481	-4.0857973	0.6572038	0.002515536	0.0705	79.0	74.30006980895996
34	117.81748	14.378542	137.76099	102.702286	1000.0	88.35125	7.9583683	100.83863	68.940544	140000	1.6212464e-08	21.761631	-0.011403864	-8.522721	0.63071185	0.008642884	0.07825	79.0	76.6127860546112
35	121.18529	8.113392	128.12178	107.943565	1000.0	90.61517	8.829002	103.17703	68.36339	144000	1.1086464e-08	20.371386	-0.01236205	-12.202258	0.62093335	0.0029887643	0.0905	79.0	78.96321630477905
36	132.93338	18.40189	147.56085	101.395584	1000.0	92.57192	9.554425	106.14418	68.28942	148000	-7.3313715e-09	27.26683	-0.011212902	-13.866132	0.5926025	0.0048540276	0.0765	79.0	81.28364944458008
37	121.6795	8.618754	133.9314	110.65257	1000.0	96.58428	8.680886	109.81112	80.31338	152000	-7.3313715e-09	19.702648	-0.009338661	-9.254664	0.5716026	0.004586381	0.04575	79.0	83.61105012893677
38	125.56113	6.3225265	135.38412	118.67882	1000.0	98.71851	8.215234	111.456024	83.105515	156000	1.2278557e-08	31.51161	-0.010596928	-20.80416	0.55256623	0.0030900277	0.07075	79.0	85.93892765045166
39	135.81651	9.115812	149.6355	124.09501	1000.0	101.742546	8.67882	115.02768	87.13871	160000	1.001358e-08	28.962349	-0.013330155	-20.078964	0.5325281	0.009546023	0.0955	79.0	88.26085829734802
40	140.569	15.876358	161.06592	117.42123	1000.0	106.62361	8.579966	118.588875	86.68243	164000	-2.1457671e-09	39.987522	-0.0107015055	-23.744263	0.50530076	0.0066763544	0.06825	79.0	90.64180064201355
41	128.7359	7.2994204	135.17	116.834755	1000.0	111.40002	8.283381	122.8561	93.07771	168000	-1.859665e-08	7.915263	-0.01304382	-3.0659027	0.48428345	0.004562143	0.07575	79.0	93.58033895492554
42	133.18475	7.736649	143.62947	125.0302	1000.0	111.31567	8.4793415	124.5649	97.20081	172000	-1.7344952e-08	17.322956	-0.010967326	-9.981983	0.45234126	0.00495849	0.07375	79.0	97.17904019355774
43	146.7959	3.559878	152.81625	143.53358	1000.0	114.12159	8.876201	127.512726	97.7915	176000	-1.26361845e-08	7.901183	-0.009794041	-3.0676703	0.42619213	0.0075711305	0.064	79.0	100.24153399467468
44	146.34851	8.031855	157.49104	135.33095	1000.0	115.33208	9.278417	128.88493	96.26469	180000	-5.2452087e-09	21.221893	-0.010646314	-17.076366	0.42041793	0.0055369916	0.07125	79.0	102.90549540519714
45	149.08907	10.399542	158.3826	131.4482	1000.0	118.383934	9.580913	132.08102	100.22791	184000	-1.37090685e-08	11.951618	-0.011356965	-6.8101764	0.4147727	0.006470252	0.071	79.0	105.82192707061768
46	148.74199	5.6643248	155.33069	140.55766	1000.0	122.25553	7.5701423	134.51535	108.51216	188000	-2.0980835e-08	6.2525234	-0.002631636	-1.1209888	0.4084776	0.015164209	0.13875	3.0	107.99387264251709
47	151.45522	3.7096572	156.41776	145.95827	1000.0	120.91637	9.880392	135.1603	101.163055	192000	-2.384186e-10	7.6256948	-0.011358332	-3.042986	0.40861174	0.0042894525	0.07875	79.0	110.45850014686584
48	149.80647	8.145409	156.68324	135.89993	1000.0	122.46599	8.845309	136.50119	107.06919	196000	-1.5497207e-08	7.1672945	-0.010673429	-4.312937	0.39059484	0.005887506	0.0655	79.0	112.86296391487122
49	154.4323	2.6569643	157.89159	150.79666	1000.0	124.649895	8.971504	138.08058	109.38078	200000	-1.9073486e-08	12.451263	-0.011942299	-8.257778	0.37340626	0.010766571	0.09475	79.0	115.19705605506897
