Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-122.98993	33.884193	-87.645	-157.3293	1000.0	-103.27089	2.4109597	36.545204	-103.372116	112000	1.001358e-08	1103.3633	-0.011024447	-39.978638	0.8178103	0.01540674	0.22125	7.0	63.00753569602966
28	-147.73686	14.504791	-134.85254	-172.36562	1000.0	-104.63933	1.94031	-23.755104	-104.7827	116000	-2.2411346e-08	1018.83325	-0.009505644	-150.4372	0.8170865	0.018278783	0.26175	6.0	65.03358387947083
29	-163.92174	53.306293	-74.660614	-210.9373	1000.0	-107.772835	0.010037869	-107.52935	-107.77526	120000	-1.3828277e-08	1999.312	-0.031786133	-175.72339	0.8169948	0.015260142	0.15725	19.0	67.02425050735474
30	-144.41249	69.82496	-48.910915	-241.16437	1000.0	-111.244026	0.008764554	-111.09984	-111.24673	124000	4.053116e-09	1798.5515	-0.0101216985	-117.41052	0.8154116	0.01626025	0.21025	6.0	68.94506525993347
31	-126.94361	58.518105	-79.82066	-225.35324	1000.0	-114.16499	0.021106722	-113.34308	-114.1695	128000	-3.4570693e-09	1056.78	-0.032259833	-33.37213	0.81467235	0.015602791	0.1565	18.0	70.96807146072388
32	-100.61809	79.9875	2.4302456	-210.46362	1000.0	-115.6243	1.9422386	-44.60718	-115.7693	132000	-1.2874604e-08	1654.03	-0.011924164	-9.769287	0.81115764	0.018383602	0.22825	6.0	72.93741655349731
33	-108.141495	23.093039	-69.738594	-130.37868	1000.0	-115.380325	5.4628277	79.753334	-115.81143	136000	6.6757204e-09	378.83835	-0.039094906	-24.701965	0.8097264	0.015176279	0.19225	41.0	75.07740235328674
34	-84.50137	106.2924	12.199815	-248.49934	1000.0	-115.422264	3.4036338	-28.239033	-115.774086	140000	2.4795533e-08	2751.981	-0.03840528	-186.12769	0.80988216	0.015227789	0.1885	26.0	77.13498997688293
35	-67.52729	23.764317	-33.952904	-97.22285	1000.0	-106.15467	9.173729	-13.820954	-114.443436	144000	8.5830685e-09	899.6557	-0.038887538	-353.0014	0.8065618	0.015434368	0.16	26.0	79.18866991996765
36	-119.232346	58.26367	-33.938168	-174.30309	1000.0	-93.09019	11.065364	-25.511755	-113.93998	148000	-1.45435335e-08	1499.154	-0.010392857	-260.36218	0.80130655	0.021165553	0.20175	5.0	81.15824341773987
37	-60.257847	114.32514	70.74064	-233.9514	1000.0	-104.12692	12.25899	49.013714	-114.3271	152000	5.841255e-09	2904.1572	-0.008459648	-865.0375	0.8006235	0.01609744	0.24625	6.0	83.12368392944336
38	-19.375546	48.62916	46.527294	-85.37606	1000.0	-77.39119	17.892895	12.11813	-115.34786	156000	-7.1525574e-10	1312.7133	-0.04348517	-382.59796	0.8002544	0.015315107	0.21	33.0	85.28999519348145
39	-61.674984	50.256374	-5.852795	-133.16965	1000.0	-66.99872	15.938054	-12.603379	-115.48161	160000	1.5497208e-09	1668.544	-0.03305398	-284.6316	0.7976745	0.015177637	0.1645	20.0	87.434415102005
40	-35.545513	108.479965	66.81645	-218.20651	1000.0	-82.50647	19.71964	-33.378048	-116.117035	164000	-1.66893e-08	2542.5422	-0.01093056	-715.4159	0.7950638	0.018404622	0.2195	6.0	89.4980309009552
41	-18.07682	119.219345	78.953964	-222.10303	1000.0	-61.72177	30.199001	10.346352	-118.03303	168000	-5.9604646e-09	3668.9546	-0.041402295	-1359.199	0.79408365	0.015144772	0.19875	31.0	91.67274260520935
42	-39.18492	73.46074	66.49368	-121.31951	1000.0	-32.4823	46.048504	47.565548	-119.24218	172000	-2.5272369e-08	4152.9653	-0.011674188	-928.66504	0.79498404	0.015663482	0.19325	6.0	93.80680823326111
43	-102.35357	57.110588	-41.47215	-169.27739	1000.0	-56.778263	39.18429	23.488838	-120.32906	176000	3.2067298e-08	3952.4333	-0.051020335	-1227.7202	0.794929	0.01507679	0.25675	45.0	96.19031572341919
44	25.828592	62.55708	108.5779	-54.344337	1000.0	-69.0163	16.163275	10.059162	-118.08609	180000	-2.861023e-09	2099.6057	-0.012650519	-987.34106	0.7928155	0.015343639	0.2205	5.0	98.18719506263733
45	28.910099	56.745144	79.10388	-67.02908	1000.0	-39.373905	11.426877	28.071121	-92.36295	184000	7.152557e-09	1524.9739	-0.043292686	-726.7992	0.7924455	0.015300795	0.20925	32.0	100.29159450531006
46	-45.530132	140.33533	73.70555	-280.70493	1000.0	-28.505978	28.652521	36.0301	-121.28706	188000	2.861023e-09	3813.4678	-0.04117865	-1634.8191	0.7840387	0.015167877	0.1825	24.0	102.37454867362976
47	21.825417	50.917442	69.766914	-62.20525	1000.0	-11.255071	42.532463	71.45346	-123.20771	192000	-6.437302e-09	2262.5417	-0.032455828	-267.90955	0.7806971	0.015461216	0.15225	20.0	104.35532784461975
48	31.236092	38.013584	84.518684	-22.948925	1000.0	-3.3588624	38.506886	63.19283	-123.84728	196000	1.2397766e-08	2502.822	-0.011725654	-336.77808	0.77781963	0.015987793	0.2125	6.0	106.3271656036377
49	40.12519	18.62233	70.12481	19.00299	1000.0	-5.254658	33.018837	82.396194	-124.46447	200000	6.556511e-09	2709.5215	-0.0107286405	-469.87866	0.77716815	0.017809674	0.23325	5.0	108.26796650886536
